dbus-da+,6.7,2023-10-23 00:17:42
tracker+,6.7,2023-10-23 00:17:42
1.16,,load,2023-10-23 00:17:52
,stopped,,2023-10-23 00:17:52
0.0,id,,2023-10-23 00:17:52
,used,,2023-10-23 00:17:52
,5600.3,2023-10-23 00:17:52
tracker+,2.7,2023-10-23 00:17:52
mta-sts+,0.6,2023-10-23 00:17:52
Isolate+,0.6,2023-10-23 00:17:52
tracker+,0.6,2023-10-23 00:17:52
gnome-s+,0.3,2023-10-23 00:17:52
systemd+,0.2,2023-10-23 00:17:52
contain+,0.1,2023-10-23 00:17:52
xdg-des+,0.1,2023-10-23 00:17:52
gjs,0.1,2023-10-23 00:17:52
top,0.1,2023-10-23 00:17:52
1.12,,load,2023-10-23 00:18:02
,stopped,,2023-10-23 00:18:02
0.0,id,,2023-10-23 00:18:02
,used,,2023-10-23 00:18:02
,5759.6,2023-10-23 00:18:02
Isolate+,3.1,2023-10-23 00:18:02
tracker+,2.9,2023-10-23 00:18:02
firefox,1.5,2023-10-23 00:18:02
mta-sts+,0.7,2023-10-23 00:18:02
tracker+,0.6,2023-10-23 00:18:02
dockerd,0.3,2023-10-23 00:18:02
systemd+,0.2,2023-10-23 00:18:02
contain+,0.2,2023-10-23 00:18:02
gjs,0.2,2023-10-23 00:18:02
top,0.2,2023-10-23 00:18:02
rcu_pre+,0.1,2023-10-23 00:18:02
kworker+,0.1,2023-10-23 00:18:02
jbd2/sd+,0.1,2023-10-23 00:18:02
showtim+,0.1,2023-10-23 00:18:02
account+,0.1,2023-10-23 00:18:02
dbus-da+,0.1,2023-10-23 00:18:02
gnome-s+,0.1,2023-10-23 00:18:02
gsd-hou+,0.1,2023-10-23 00:18:02
gvfsd-m+,0.1,2023-10-23 00:18:02
kworker+,0.1,2023-10-23 00:18:02
kworker+,0.1,2023-10-23 00:18:02
1.09,,load,2023-10-23 00:18:13
,stopped,,2023-10-23 00:18:13
0.0,id,,2023-10-23 00:18:13
,used,,2023-10-23 00:18:13
,5756.4,2023-10-23 00:18:13
tracker+,3.0,2023-10-23 00:18:13
mta-sts+,0.6,2023-10-23 00:18:13
Isolate+,0.6,2023-10-23 00:18:13
tracker+,0.5,2023-10-23 00:18:13
gnome-s+,0.4,2023-10-23 00:18:13
systemd+,0.2,2023-10-23 00:18:13
snapd,0.2,2023-10-23 00:18:13
kcompac+,0.1,2023-10-23 00:18:13
dbus-da+,0.1,2023-10-23 00:18:13
gjs,0.1,2023-10-23 00:18:13
firefox,0.1,2023-10-23 00:18:13
kworker+,0.1,2023-10-23 00:18:13
top,0.1,2023-10-23 00:18:13
1.05,,load,2023-10-23 00:18:23
,stopped,,2023-10-23 00:18:23
0.0,id,,2023-10-23 00:18:23
,used,,2023-10-23 00:18:23
,5759.1,2023-10-23 00:18:23
tracker+,3.1,2023-10-23 00:18:23
mta-sts+,0.7,2023-10-23 00:18:23
tracker+,0.7,2023-10-23 00:18:23
Isolate+,0.6,2023-10-23 00:18:23
contain+,0.3,2023-10-23 00:18:23
gnome-s+,0.3,2023-10-23 00:18:23
systemd+,0.2,2023-10-23 00:18:23
rcu_pre+,0.1,2023-10-23 00:18:23
showtim+,0.1,2023-10-23 00:18:23
master,0.1,2023-10-23 00:18:23
dbus-da+,0.1,2023-10-23 00:18:23
gjs,0.1,2023-10-23 00:18:23
kworker+,0.1,2023-10-23 00:18:23
top,0.1,2023-10-23 00:18:23
1.02,,load,2023-10-23 00:18:34
,stopped,,2023-10-23 00:18:34
0.0,id,,2023-10-23 00:18:34
,used,,2023-10-23 00:18:34
,5770.7,2023-10-23 00:18:34
tracker+,2.9,2023-10-23 00:18:34
mta-sts+,0.7,2023-10-23 00:18:34
Isolate+,0.6,2023-10-23 00:18:34
tracker+,0.6,2023-10-23 00:18:34
systemd+,0.2,2023-10-23 00:18:34
dbus-da+,0.2,2023-10-23 00:18:34
gjs,0.2,2023-10-23 00:18:34
systemd+,0.1,2023-10-23 00:18:34
contain+,0.1,2023-10-23 00:18:34
upowerd,0.1,2023-10-23 00:18:34
gvfsd-m+,0.1,2023-10-23 00:18:34
kworker+,0.1,2023-10-23 00:18:34
kworker+,0.1,2023-10-23 00:18:34
kworker+,0.1,2023-10-23 00:18:34
top,0.1,2023-10-23 00:18:34
top,6.7,2023-10-23 00:18:34
0.98,,load,2023-10-23 00:18:44
,stopped,,2023-10-23 00:18:44
0.0,id,,2023-10-23 00:18:44
,used,,2023-10-23 00:18:44
,5751.8,2023-10-23 00:18:44
tracker+,2.9,2023-10-23 00:18:44
mta-sts+,0.6,2023-10-23 00:18:44
Isolate+,0.6,2023-10-23 00:18:44
tracker+,0.6,2023-10-23 00:18:44
gnome-s+,0.3,2023-10-23 00:18:44
irqbala+,0.2,2023-10-23 00:18:44
gjs,0.2,2023-10-23 00:18:44
rcu_pre+,0.1,2023-10-23 00:18:44
systemd+,0.1,2023-10-23 00:18:44
thermald,0.1,2023-10-23 00:18:44
Network+,0.1,2023-10-23 00:18:44
contain+,0.1,2023-10-23 00:18:44
dbus-da+,0.1,2023-10-23 00:18:44
gsd-med+,0.1,2023-10-23 00:18:44
gvfsd-m+,0.1,2023-10-23 00:18:44
firefox,0.1,2023-10-23 00:18:44
kworker+,0.1,2023-10-23 00:18:44
gnome-s+,6.7,2023-10-23 00:18:45
0.95,,load,2023-10-23 00:18:55
,stopped,,2023-10-23 00:18:55
0.0,id,,2023-10-23 00:18:55
,used,,2023-10-23 00:18:55
,5749.9,2023-10-23 00:18:55
tracker+,3.1,2023-10-23 00:18:55
mta-sts+,0.6,2023-10-23 00:18:55
Isolate+,0.6,2023-10-23 00:18:55
tracker+,0.6,2023-10-23 00:18:55
systemd+,0.3,2023-10-23 00:18:55
gnome-s+,0.3,2023-10-23 00:18:55
jbd2/sd+,0.1,2023-10-23 00:18:55
contain+,0.1,2023-10-23 00:18:55
dbus-da+,0.1,2023-10-23 00:18:55
gjs,0.1,2023-10-23 00:18:55
gvfsd-m+,0.1,2023-10-23 00:18:55
gsd-xse+,0.1,2023-10-23 00:18:55
kworker+,0.1,2023-10-23 00:18:55
top,0.1,2023-10-23 00:18:55
0.92,,load,2023-10-23 00:19:05
,stopped,,2023-10-23 00:19:05
0.0,id,,2023-10-23 00:19:05
,used,,2023-10-23 00:19:05
,5754.4,2023-10-23 00:19:05
tracker+,2.9,2023-10-23 00:19:05
Isolate+,1.8,2023-10-23 00:19:05
firefox,0.9,2023-10-23 00:19:05
mta-sts+,0.6,2023-10-23 00:19:05
tracker+,0.5,2023-10-23 00:19:05
rcu_pre+,0.1,2023-10-23 00:19:05
kworker+,0.1,2023-10-23 00:19:05
systemd+,0.1,2023-10-23 00:19:05
systemd+,0.1,2023-10-23 00:19:05
contain+,0.1,2023-10-23 00:19:05
dbus-da+,0.1,2023-10-23 00:19:05
xdg-des+,0.1,2023-10-23 00:19:05
gjs,0.1,2023-10-23 00:19:05
kworker+,0.1,2023-10-23 00:19:05
mta-sts+,6.2,2023-10-23 00:19:06
0.92,,load,2023-10-23 00:19:16
,stopped,,2023-10-23 00:19:16
0.0,id,,2023-10-23 00:19:16
,used,,2023-10-23 00:19:16
,5757.7,2023-10-23 00:19:16
tracker+,3.1,2023-10-23 00:19:16
Isolate+,0.7,2023-10-23 00:19:16
tracker+,0.7,2023-10-23 00:19:16
mta-sts+,0.6,2023-10-23 00:19:16
gnome-s+,0.3,2023-10-23 00:19:16
systemd+,0.2,2023-10-23 00:19:16
gjs,0.2,2023-10-23 00:19:16
showtim+,0.1,2023-10-23 00:19:16
contain+,0.1,2023-10-23 00:19:16
dbus-da+,0.1,2023-10-23 00:19:16
gvfsd-m+,0.1,2023-10-23 00:19:16
kworker+,0.1,2023-10-23 00:19:16
kworker+,0.1,2023-10-23 00:19:16
kworker+,0.1,2023-10-23 00:19:16
kworker+,0.1,2023-10-23 00:19:16
top,0.1,2023-10-23 00:19:16
tracker+,31.2,2023-10-23 00:19:16
dbus-da+,6.2,2023-10-23 00:19:16
tracker+,6.2,2023-10-23 00:19:16
0.89,,load,2023-10-23 00:19:26
,stopped,,2023-10-23 00:19:26
0.0,id,,2023-10-23 00:19:26
,used,,2023-10-23 00:19:26
,5754.8,2023-10-23 00:19:26
tracker+,3.1,2023-10-23 00:19:26
mta-sts+,0.7,2023-10-23 00:19:26
Isolate+,0.6,2023-10-23 00:19:26
tracker+,0.6,2023-10-23 00:19:26
gnome-s+,0.4,2023-10-23 00:19:26
systemd+,0.2,2023-10-23 00:19:26
rcu_pre+,0.1,2023-10-23 00:19:26
showtim+,0.1,2023-10-23 00:19:26
contain+,0.1,2023-10-23 00:19:26
upowerd,0.1,2023-10-23 00:19:26
dbus-da+,0.1,2023-10-23 00:19:26
gjs,0.1,2023-10-23 00:19:26
gvfsd-m+,0.1,2023-10-23 00:19:26
top,0.1,2023-10-23 00:19:26
0.85,,load,2023-10-23 00:19:37
,stopped,,2023-10-23 00:19:37
0.0,id,,2023-10-23 00:19:37
,used,,2023-10-23 00:19:37
,5759.8,2023-10-23 00:19:37
tracker+,3.0,2023-10-23 00:19:37
mta-sts+,0.6,2023-10-23 00:19:37
Isolate+,0.5,2023-10-23 00:19:37
tracker+,0.5,2023-10-23 00:19:37
gnome-s+,0.3,2023-10-23 00:19:37
gjs,0.2,2023-10-23 00:19:37
jbd2/sd+,0.1,2023-10-23 00:19:37
systemd+,0.1,2023-10-23 00:19:37
systemd+,0.1,2023-10-23 00:19:37
thermald,0.1,2023-10-23 00:19:37
contain+,0.1,2023-10-23 00:19:37
kworker+,0.1,2023-10-23 00:19:37
kworker+,0.1,2023-10-23 00:19:37
top,0.1,2023-10-23 00:19:37
0.82,,load,2023-10-23 00:19:47
,stopped,,2023-10-23 00:19:47
0.0,id,,2023-10-23 00:19:47
,used,,2023-10-23 00:19:47
,5771.2,2023-10-23 00:19:47
tracker+,3.0,2023-10-23 00:19:47
mta-sts+,0.7,2023-10-23 00:19:47
Isolate+,0.7,2023-10-23 00:19:47
tracker+,0.7,2023-10-23 00:19:47
systemd+,0.2,2023-10-23 00:19:47
dbus-da+,0.2,2023-10-23 00:19:47
rcu_pre+,0.1,2023-10-23 00:19:47
irq/47-+,0.1,2023-10-23 00:19:47
showtim+,0.1,2023-10-23 00:19:47
Network+,0.1,2023-10-23 00:19:47
contain+,0.1,2023-10-23 00:19:47
gjs,0.1,2023-10-23 00:19:47
gvfsd-m+,0.1,2023-10-23 00:19:47
firefox,0.1,2023-10-23 00:19:47
snap,0.1,2023-10-23 00:19:47
kworker+,0.1,2023-10-23 00:19:47
top,0.1,2023-10-23 00:19:47
top,6.2,2023-10-23 00:19:48
0.81,,load,2023-10-23 00:19:58
,stopped,,2023-10-23 00:19:58
0.0,id,,2023-10-23 00:19:58
,used,,2023-10-23 00:19:58
,5767.8,2023-10-23 00:19:58
tracker+,2.9,2023-10-23 00:19:58
gnome-s+,1.3,2023-10-23 00:19:58
gnome-t+,0.9,2023-10-23 00:19:58
mta-sts+,0.6,2023-10-23 00:19:58
Isolate+,0.6,2023-10-23 00:19:58
tracker+,0.5,2023-10-23 00:19:58
systemd+,0.2,2023-10-23 00:19:58
dbus-da+,0.2,2023-10-23 00:19:58
ibus-da+,0.2,2023-10-23 00:19:58
gjs,0.2,2023-10-23 00:19:58
systemd,0.1,2023-10-23 00:19:58
ksoftir+,0.1,2023-10-23 00:19:58
kworker+,0.1,2023-10-23 00:19:58
kworker+,0.1,2023-10-23 00:19:58
dbus-da+,0.1,2023-10-23 00:19:58
systemd+,0.1,2023-10-23 00:19:58
contain+,0.1,2023-10-23 00:19:58
upowerd,0.1,2023-10-23 00:19:58
gsd-pow+,0.1,2023-10-23 00:19:58
ibus-en+,0.1,2023-10-23 00:19:58
xdg-des+,0.1,2023-10-23 00:19:58
gvfsd-m+,0.1,2023-10-23 00:19:58
kworker+,0.1,2023-10-23 00:19:58
0.78,,load,2023-10-23 00:20:08
,stopped,,2023-10-23 00:20:08
0.0,id,,2023-10-23 00:20:08
,used,,2023-10-23 00:20:08
,5763.5,2023-10-23 00:20:08
tracker+,3.0,2023-10-23 00:20:08
gnome-s+,1.7,2023-10-23 00:20:08
gnome-t+,1.0,2023-10-23 00:20:08
mta-sts+,0.7,2023-10-23 00:20:08
tracker+,0.7,2023-10-23 00:20:08
Isolate+,0.6,2023-10-23 00:20:08
ibus-da+,0.3,2023-10-23 00:20:08
systemd+,0.2,2023-10-23 00:20:08
rcu_pre+,0.1,2023-10-23 00:20:08
systemd+,0.1,2023-10-23 00:20:08
showtim+,0.1,2023-10-23 00:20:08
contain+,0.1,2023-10-23 00:20:08
gvfs-af+,0.1,2023-10-23 00:20:08
gsd-sha+,0.1,2023-10-23 00:20:08
gjs,0.1,2023-10-23 00:20:08
bash,0.1,2023-10-23 00:20:08
kworker+,0.1,2023-10-23 00:20:08
kworker+,0.1,2023-10-23 00:20:08
top,0.1,2023-10-23 00:20:08
gnome-s+,6.7,2023-10-23 00:20:09
tracker+,6.7,2023-10-23 00:20:09
Isolate+,6.7,2023-10-23 00:20:09
0.75,,load,2023-10-23 00:20:19
,stopped,,2023-10-23 00:20:19
0.0,id,,2023-10-23 00:20:19
,used,,2023-10-23 00:20:19
,5756.7,2023-10-23 00:20:19
tracker+,2.9,2023-10-23 00:20:19
gnome-s+,2.7,2023-10-23 00:20:19
gnome-t+,1.7,2023-10-23 00:20:19
mta-sts+,0.6,2023-10-23 00:20:19
Isolate+,0.6,2023-10-23 00:20:19
tracker+,0.5,2023-10-23 00:20:19
dockerd,0.4,2023-10-23 00:20:19
ibus-da+,0.4,2023-10-23 00:20:19
systemd+,0.2,2023-10-23 00:20:19
contain+,0.2,2023-10-23 00:20:19
ibus-en+,0.2,2023-10-23 00:20:19
rcu_pre+,0.1,2023-10-23 00:20:19
kworker+,0.1,2023-10-23 00:20:19
dbus-da+,0.1,2023-10-23 00:20:19
gjs,0.1,2023-10-23 00:20:19
gvfsd-m+,0.1,2023-10-23 00:20:19
bash,0.1,2023-10-23 00:20:19
firefox,0.1,2023-10-23 00:20:19
kworker+,0.1,2023-10-23 00:20:19
kworker+,0.1,2023-10-23 00:20:19
kworker+,0.1,2023-10-23 00:20:19
top,0.1,2023-10-23 00:20:19
ibus-da+,6.7,2023-10-23 00:20:19
0.73,,load,2023-10-23 00:20:29
,stopped,,2023-10-23 00:20:29
0.0,id,,2023-10-23 00:20:29
,used,,2023-10-23 00:20:29
,6436.6,2023-10-23 00:20:29
gnome-s+,7.1,2023-10-23 00:20:29
tracker+,3.3,2023-10-23 00:20:29
gjs,0.7,2023-10-23 00:20:29
tracker+,0.7,2023-10-23 00:20:29
mta-sts+,0.6,2023-10-23 00:20:29
dbus-da+,0.2,2023-10-23 00:20:29
Xwayland,0.2,2023-10-23 00:20:29
kworker+,0.2,2023-10-23 00:20:29
kworker+,0.2,2023-10-23 00:20:29
systemd,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
jbd2/sd+,0.1,2023-10-23 00:20:29
systemd+,0.1,2023-10-23 00:20:29
systemd+,0.1,2023-10-23 00:20:29
polkitd,0.1,2023-10-23 00:20:29
contain+,0.1,2023-10-23 00:20:29
ibus-da+,0.1,2023-10-23 00:20:29
ibus-en+,0.1,2023-10-23 00:20:29
xdg-des+,0.1,2023-10-23 00:20:29
update-+,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
kworker+,0.1,2023-10-23 00:20:29
top,0.1,2023-10-23 00:20:29
account+,6.7,2023-10-23 00:20:30
0.72,,load,2023-10-23 00:20:40
,stopped,,2023-10-23 00:20:40
0.0,id,,2023-10-23 00:20:40
,used,,2023-10-23 00:20:40
,6424.1,2023-10-23 00:20:40
gnome-s+,14.9,2023-10-23 00:20:40
tracker+,3.0,2023-10-23 00:20:40
mta-sts+,0.7,2023-10-23 00:20:40
tracker+,0.6,2023-10-23 00:20:40
gjs,0.4,2023-10-23 00:20:40
kworker+,0.4,2023-10-23 00:20:40
systemd+,0.2,2023-10-23 00:20:40
dbus-da+,0.2,2023-10-23 00:20:40
dbus-da+,0.2,2023-10-23 00:20:40
gnome-s+,0.2,2023-10-23 00:20:40
package+,0.2,2023-10-23 00:20:40
systemd,0.1,2023-10-23 00:20:40
kcompac+,0.1,2023-10-23 00:20:40
kworker+,0.1,2023-10-23 00:20:40
kworker+,0.1,2023-10-23 00:20:40
polkitd,0.1,2023-10-23 00:20:40
